,views
131,912953.8818805589
132,71940.42215488036
133,1009560.2779222743
134,47978.943995920476
135,169190.1025869397
136,14872.930802833522
137,298248.9348424142
138,599763.7220701649
139,523435.11635521427
140,2000707.9654540108
141,1359599.3452698765
142,1605381.621665975
143,35272480.06524142
144,1522088.8976193343
145,1003007.5634949461
146,1547205.7848968552
147,1522088.8976193343
148,1154981.6393470105
149,80380.2596542514
150,40252.53784020175
151,129895.02755321702
152,26522.731257703388
153,1726754.558142885
154,1599619.294608949
155,426091.13059197203
156,138454.50755190128
157,712555.4843874692
158,236908.05135899084
159,79935.82107111975
160,286591.3948309368
161,3151939.1797470944
162,7640572.358576376
163,1230277.8440589022
164,147831.95235185977
165,1522088.8976193343
166,4480070.806554213
167,22100074.693884123
168,122687.21819469449
169,186860.21675144834
170,1522088.8976193343
171,3194438.4421990286
172,6192969.15555616
173,837639.0399396659
174,954033.8362161196
175,3203872.578511809
176,6589682.910296782
177,4051393.6484162146
178,217343.4745364047
179,578765.5345314832
180,9218948.172665918
181,10818925.64077003
182,592799.4577809658
183,127660.40595445083
184,238714.91285676183
185,1069295.606580807
186,2745451.6024971427
187,787705.6397593053
188,75554.02803051216
189,1049841.4515324477
190,158031.29034375772
191,476292.60548783466
192,2871126.5116516696
193,25093522.360609367
194,4420221.271153695
195,872851.1599340308
196,15489524.901350869
197,1382135.7599280246
198,389983.97781669744
199,699068.1683265094
200,4206080.532997319
201,891125.9980103349
202,184720.84685732517
203,6406362.878602174
204,104061.50947589963
205,4657367.990764739
206,2052637.0418705645
207,60032.75660352758
208,1249661.7748460537
209,109800.35891848826
210,620758.3938383328
211,1008853.036282778
212,1651191.6863147034
213,692623.1518974503
214,388255.7763022075
215,967327.4725547286
216,-1034587.7435815416
217,2863708.2678943127
218,159060.68567119376
219,1174876.862663219
220,2973508.604613197
221,400475.6730191568
222,289182.30446564546
223,4224827.571358694
224,138946.76912279543
225,2280297.3402620177
226,2066371.2174945327
227,499328.04407056724
228,271608.1161677833
229,310743.10365614435
230,1216091.7068446332
231,2409871.30562751
232,4800379.898859597
233,403360.1039412301
234,239526.05106592085
235,80380.2596542514
236,3609665.659886772
237,3624686.729746705
238,95982.65020880406
239,292078.08077645395
240,841225.597367225
241,128853.65079098265
